"","C1","C2","C3","C4","M2","M3","M4","M5"
"Sprr2a3",13.2313910944149,12.7994378849783,12.7388550942416,12.9958535641578,14.0699991776543,13.6310938485152,14.6683244080537,11.9798964207478
"Prss32",13.4486669767998,13.3001509616383,13.3957435417586,12.7703171820603,13.962561488719,13.8521104985214,13.2224354429874,11.6747324431186
"Rsrp1",12.6861788340382,12.5128405514352,12.7485350110976,12.6517711385801,13.4462697780757,14.0248052153192,11.99950194257,11.9999435027922
"Tmsb4x",11.6184376377503,11.8433063008919,11.8934733215094,12.4766297456011,13.0552882121631,13.2822915357408,13.8327716642077,13.1714730418751
"Txnip",13.3471041512209,13.4771917831611,13.5856154220136,13.1998776512877,12.7536552176083,13.0478995718377,12.2248643851602,12.0685859130847
"Flnb",13.2358411265443,13.5378212820666,12.8553376726448,13.3800881020208,12.763146370265,12.9510190978455,12.7305036725052,13.3761004639004
"Rpl12",12.2161621039511,12.0352606989618,12.3909301921521,11.9529388289261,14.0205307361645,14.1098672247073,14.1991393447601,12.540056209978
"Plac8",12.4150920091162,12.623041794953,12.6618870608801,12.4240149434821,14.0532346289558,14.1436736368793,13.7311121741332,12.6594787033754
"Car1",12.4881477607382,13.237622819306,13.0147313915767,13.8895447305432,14.4664672308937,12.5588127348451,13.2341577919689,11.8426718546746
"Rps3",12.9285533679274,12.8139729550469,12.91494343934,12.695711413096,12.9825663568196,12.5545411415971,13.9143821312389,13.1280149247973
"Ly6a",11.1690542658005,11.2067805193276,10.9367619915996,10.4005735506155,14.4371973611459,14.6161457206165,14.6650012602185,12.9775442137124
"Sptbn1",13.4460675658976,13.6003065555508,13.2182393523498,13.2625241933228,12.2933689558068,12.3948688589865,12.3523307634551,13.0733369948989
"Tmprss2",13.2945417560375,13.4660116095372,13.255991465476,12.8497558984417,13.6688408603447,13.7953178182288,12.7493549822582,12.6817558410626
"B3gnt7",13.4875879541946,13.6853846455322,13.6726064503461,10.6034974735313,13.6687113803663,13.7939595539019,12.9729721570578,12.407036230441
"Ptma",12.285380301337,12.1399913165066,12.4275457397036,12.3910428459737,13.6771035007798,13.5668017104435,14.3582942932717,13.2896781076969
"Ctnnb1",13.491554977086,13.5520601451578,13.1764991319958,13.5692246342252,12.2403371964416,11.2937825034602,12.9272067667981,12.9918479691844
